Loci	ips_0	ips_1	ips_2
Wnt10a	0.971217	0.0284184	0.000365037
Wnt1	0.988869	0.0110051	0.00012633
Wnk4	0.986368	0.013474	0.000157794
Wnk2	0.632662	0.358828	0.00850948
Wisp1	0.519912	0.467476	0.0126116
Wipi1	0.681983	0.311056	0.00696108
Wif1	0.999554	0.00044084	4.97021e-06
Whrn	0.596301	0.393958	0.00974085
Whdc1	0.809018	0.187435	0.00354737
Wfikkn2	0.846479	0.150832	0.00268913
Wfdc6a	0.996008	0.0039499	4.23629e-05
Wfdc5	0.919927	0.0788632	0.00120947
Wfdc3	0.947677	0.0515933	0.000729402
Wfdc15b	0.935656	0.0634128	0.000931311
Wfdc12	0.79634	0.199807	0.00385296
Wee2	0.998856	0.00113194	1.20736e-05
Wdr86	0.90376	0.0947294	0.00151061
Wdr78	0.979638	0.0201151	0.000246641
Wdr69	0.998628	0.00135783	1.44154e-05
Wdr63	0.998905	0.00108323	1.15704e-05
Wdr60	0.579372	0.410286	0.0103423
Wdr5b	0.987898	0.0119632	0.000138429
Wdr38	0.671736	0.320992	0.00727181
Wdr27	0.970246	0.0293752	0.00037914
Wdr22	0.839988	0.157179	0.002833
Wdr20b	0.997808	0.00216916	2.29518e-05
Wdr19	0.95215	0.0471929	0.000656833
Wdr17	0.997197	0.00277336	2.94377e-05
Wdr16	0.993547	0.00638312	7.01845e-05
Wbscr28	0.835645	0.161424	0.0029304
Was	0.90218	0.0962792	0.00154082
Wars2	0.715885	0.278143	0.00597204
Wap	0.963175	0.0363402	0.000484419
Vwf	0.755639	0.239475	0.00488583
Vwc2	0.998285	0.00169689	1.79585e-05
Vwa2	0.996362	0.0035994	3.84733e-05
Vwa1	0.911723	0.0869164	0.00136043
Vtn	0.991033	0.00886667	9.98714e-05
Vti1a	0.639841	0.351884	0.00827566
Vtcn1	0.995799	0.00415637	4.4669e-05
Vsx1	0.969739	0.0298749	0.000386542
Vstm2	0.999461	0.000533147	5.9186e-06
Vsnl1	0.983573	0.0162335	0.00019401
Vsig8	0.99835	0.00163228	1.72806e-05
Vsig2	0.851082	0.14633	0.00258833
Vsig1	0.997378	0.00259482	2.75099e-05
Vps37d	0.75035	0.244624	0.00502587
Vps13c	0.969897	0.029719	0.00038423
Vpreb3	0.558402	0.430484	0.0111137
Vpreb1	0.713258	0.280695	0.00604657
Vnn3	0.777984	0.217707	0.00430899
Vnn1	0.985614	0.0142186	0.000167461
Vldlr	0.971332	0.0283046	0.000363364
Vit	0.996936	0.00303168	3.22429e-05
Vipr2	0.988607	0.0112631	0.000129575
Vipr1	0.995269	0.00468077	5.0574e-05
Vip	0.998364	0.00161924	1.7144e-05
Vil1	0.992211	0.00770298	8.58128e-05
Vgll2	0.985096	0.0147294	0.000174138
Vgll1	0.990867	0.00903107	0.000101878
Vgf	0.720377	0.273777	0.00584538
Vezt	0.770643	0.224862	0.00449587
Veph1	0.995157	0.00479151	5.18294e-05
Vdr	0.934003	0.0650373	0.000959821
Vcan	0.550476	0.438111	0.0114132
Vax1	0.962231	0.0372697	0.0004988
Vav3	0.990656	0.0092394	0.000104426
Vav1	0.998166	0.00181499	1.92007e-05
Vash2	0.771835	0.223699	0.00446533
Vamp5	0.882331	0.115737	0.00193181
Vamp1	0.845698	0.151596	0.00270632
V2r16	0.999229	0.000762554	8.27122e-06
V1rd9	0.998312	0.00167021	1.76784e-05
V1rd6	0.805945	0.190434	0.00362073
V1rd4	0.997457	0.00251631	2.66651e-05
V1rd3	0.996722	0.00324361	3.45584e-05
V1rc8$V1rc22	0.999224	0.000767532	8.32229e-06
V1rc7	0.999541	0.000453734	5.10286e-06
V1rc6	0.999505	0.000490022	5.47585e-06
V1rc5	0.999579	0.000416668	4.72131e-06
V1rc3	0.999776	0.000220832	2.68422e-06
V1rc22	0.999752	0.0002453	2.942e-06
V1rc2	0.999469	0.000525139	5.83642e-06
V1rc1	0.997495	0.00247884	2.62626e-05
V1rb8	0.999448	0.000545958	6.05007e-06
V1rb7	0.999153	0.000838112	9.04682e-06
V1rb6	0.895225	0.1031	0.00167544
V1rb5	0.999515	0.000479429	5.36702e-06
V1rb3	0.994268	0.00567012	6.18921e-05
V1rb2	0.999515	0.00047979	5.37072e-06
V1rb10	0.99932	0.000672663	7.34932e-06
V1rb1	0.999556	0.000439159	4.95291e-06
V1ra9	0.996481	0.00348153	3.71725e-05
V1ra6	0.993261	0.00666526	7.34955e-05
V1ra5	0.999609	0.000387083	4.41621e-06
V1ra4$V1ra3	0.999663	0.000332715	3.8538e-06
V1ra2	0.999664	0.000331892	3.84526e-06
V1ra1	0.999675	0.000321205	3.73435e-06
Uty	0.998704	0.00128286	1.36366e-05
Uts2r	0.974342	0.025338	0.000320253
Uts2	0.993767	0.00616529	6.76394e-05
Usp9y	0.981663	0.0181175	0.000219321
Usp53	0.708591	0.285229	0.00617987
Usp50	0.990686	0.00921022	0.000104069
Usp43	0.972365	0.0272862	0.000348464
Usp29	0.995304	0.00464581	5.01782e-05
Usp25	0.583938	0.405883	0.0101782
Usp20	0.816565	0.180066	0.00336906
Usp13	0.838153	0.158973	0.00287405
Ushbp1	0.757586	0.237579	0.00483459
Ush2a	0.97875	0.0209911	0.000258774
Ush1c	0.955389	0.0440063	0.000605212
Uqcrq	0.88627	0.111878	0.00185257
Upp2	0.99761	0.00236528	2.50452e-05
Upk3b	0.979752	0.0200028	0.000245092
Upk3a	0.918846	0.0799253	0.00122916
Upk1b	0.934219	0.0648248	0.000956081
Upk1a	0.638605	0.353079	0.00831571
Upb1	0.927248	0.0716735	0.00107811
Uox	0.947051	0.0522088	0.000739669
Uncx4.1	0.998145	0.00183512	1.9413e-05
Unc5d	0.999169	0.000821928	8.88061e-06
Unc5cl	0.990543	0.00935101	0.000105795
Unc5c	0.898809	0.0995855	0.00160575
Unc45b	0.998157	0.00182346	1.929e-05
Unc13d	0.875333	0.122592	0.00207455
Unc13c	0.998242	0.00173922	1.84033e-05
Unc13a	0.967537	0.0320445	0.000418957
Umodl1	0.998024	0.00195517	2.06809e-05
Umod	0.999637	0.000359022	4.12626e-06
Ulk2	0.697375	0.29612	0.00650469
Ugt3a2	0.988661	0.0112106	0.000128913
Ugt2b5	0.999683	0.000313435	3.65364e-06
Ugt2b38	0.997992	0.00198659	2.10135e-05
Ugt2b37	0.999295	0.000696928	7.59812e-06
Ugt2b36	0.99835	0.0016328	1.72861e-05
Ugt2b35	0.999591	0.000404654	4.59748e-06
Ugt2b34	0.998881	0.00110705	1.18163e-05
Ugt2b1	0.999006	0.000983753	1.05446e-05
Ugt2a3	0.999525	0.000470186	5.27203e-06
Ugt2a1	0.999279	0.000713581	7.76889e-06
Ugcgl2	0.855633	0.141877	0.00248969
Ucp3	0.559931	0.429013	0.0110564
Ucp1	0.988124	0.0117404	0.000135603
Ucn3	0.994323	0.00561564	6.1263e-05
Ucn	0.940843	0.0583136	0.000842991
Uchl4$Uchl3	0.999647	0.000348501	4.01737e-06
Ubxd3	0.941997	0.0571793	0.00082359
Ubqlnl	0.917323	0.0814201	0.00125697
Ubqln3	0.999581	0.00041447	4.69866e-06
Ubl4b	0.985041	0.0147844	0.00017486
Ube2u	0.994582	0.00536012	5.83215e-05
Ube2m	0.497968	0.488515	0.0135174
Ube2l6	0.998077	0.00190286	2.01278e-05
Ubd	0.997951	0.0020277	2.1449e-05
Ubash3a	0.795319	0.200803	0.00387791
Tyrp1	0.998552	0.00143326	1.52007e-05
Tyrobp	0.983176	0.0166248	0.000199228
Tyr	0.998787	0.00120047	1.27825e-05
Tyms	0.985707	0.014127	0.000166268
Tyki	0.98828	0.0115862	0.000133651
Txnl6	0.878154	0.119829	0.00201672
Txndc8	0.922779	0.0760634	0.00115793
Txndc3	0.997811	0.00216631	2.29215e-05
Txndc2	0.903555	0.0949306	0.00151452
Txlnb	0.801002	0.195258	0.0037397
Txk	0.997382	0.00259054	2.74637e-05
Tusc5	0.982232	0.0175559	0.000211729
Tulp2	0.836321	0.160764	0.0029152
Tulp1	0.753104	0.241943	0.00495278
Tubd1	0.554294	0.434437	0.0112683
Tubb4	0.797939	0.198247	0.00381401
Tubb1	0.968515	0.0310809	0.000404505
Tuba8	0.845071	0.152209	0.00272017
Tub	0.961606	0.0378858	0.000508373
Ttyh1$Taf1	0.869181	0.128617	0.00220213
Ttn	0.808008	0.188421	0.00357143
Ttll9	0.65197	0.340143	0.00788726
Ttll3	0.978128	0.0216046	0.000267323
Ttll13	0.989057	0.0108187	0.000123993
Ttll11	0.935798	0.0632735	0.000928874
Ttll10	0.985584	0.0142486	0.000167852
Ttl	0.511507	0.475539	0.0129538
Ttc9b	0.708729	0.285095	0.00617591
Ttc9	0.550459	0.438127	0.0114138
Ttc7	0.877546	0.120425	0.00202915
Ttc29	0.659263	0.333079	0.00765768
Ttc25	0.952066	0.047276	0.000658189
Ttc23	0.771538	0.223989	0.00447294
Ttc22	0.975716	0.0239832	0.000300871
Ttc21a	0.903961	0.0945323	0.00150677
Ttc17	0.552932	0.435748	0.0113199
Ttc16	0.98832	0.0115473	0.000133159
Tsx	0.636613	0.355007	0.00838044
Tssk6	0.968264	0.0313277	0.000408199
Tssk5	0.669513	0.323147	0.00733995
Tssk4	0.996525	0.00343819	3.66952e-05
Tssk3	0.99108	0.00882061	9.93101e-05
Tssk2	0.995655	0.00429838	4.62614e-05
Tssk1	0.877614	0.120358	0.00202776
Tspyl5	0.992243	0.00767132	8.5434e-05
Tspyl3	0.829646	0.167287	0.00306645
Tspan8	0.942223	0.0569568	0.000819796
Tspan33	0.919621	0.0791643	0.00121505
Tspan11	0.983829	0.0159805	0.000190646
Tspan10	0.940818	0.0583388	0.000843423
Tspan1	0.801491	0.194782	0.00372789
Tsnaxip1	0.968374	0.0312199	0.000406583
Tsku	0.902454	0.0960105	0.00153557
Tshz3	0.975347	0.0243474	0.000306061
Tshz2	0.978272	0.0214631	0.000265347
Tshr	0.998159	0.00182215	1.92763e-05
Tshb	0.987027	0.0128239	0.000149419
Tsga13	0.998299	0.00168306	1.78133e-05
Tsga10	0.680899	0.312107	0.00699369
Tsc22d3	0.561582	0.427423	0.0109947
Trpv6	0.855329	0.142175	0.00249626
Trpv4	0.856357	0.141169	0.0024741
Trpv2	0.780085	0.215659	0.00425598
Trpv1	0.998666	0.00131955	1.40176e-05
Trpm8	0.999532	0.000463299	5.20122e-06
Trpm6	0.910413	0.0882017	0.00138489
Trpm5	0.98192	0.0178642	0.000215891
Trpm3	0.998513	0.00147154	1.55998e-05
Trpm2	0.632042	0.359428	0.00852981
Trpm1	0.9804	0.0193633	0.000236303
Trpd52l3	0.864246	0.133448	0.00230581
Trpc6	0.999603	0.000392818	4.4754e-06
Trpc5	0.999138	0.000852425	9.19384e-06
Trpc4	0.969109	0.0304953	0.000395766
Trpc3	0.972892	0.0267668	0.000340905
Trpc1	0.867609	0.130156	0.00223501
Trpa1	0.875062	0.122858	0.00208015
Trp73	0.906729	0.091817	0.0014542
Trp63	0.993626	0.00630454	6.92652e-05
Trmt12	0.993815	0.00611804	6.70887e-05
Trim9	0.98482	0.0150018	0.000177715
Trim75	0.998835	0.00115223	1.22833e-05
Trim7	0.938041	0.061069	0.000890493
Trim69	0.996514	0.00344895	3.68136e-05
Trim68	0.791466	0.204561	0.00397249
Trim66	0.996782	0.00318398	3.39057e-05
Trim65	0.962866	0.0366447	0.000489121
Trim63	0.816884	0.179755	0.00336159
Trim62	0.871948	0.125907	0.00214451
Trim60$Trim60	0.807409	0.189006	0.00358573
Trim60	0.820656	0.176071	0.00327355
Trim47	0.581986	0.407766	0.0102482
Trim46	0.746948	0.247936	0.00511669
Trim42	0.997649	0.00232681	2.46336e-05
Trim40	0.850107	0.147283	0.00260958
Trim31	0.997301	0.00267025	2.83232e-05
Trim30$AI451617	0.97841	0.0213264	0.000263441
Trim29	0.901394	0.0970498	0.0015559
Trim16	0.792396	0.203654	0.0039496
Trim14	0.999316	0.000676381	7.38745e-06
Trim10	0.986196	0.0136443	0.000159998
Trib2	0.969221	0.0303846	0.000394117
Trib1	0.647889	0.344094	0.00801703
Trhr2	0.877061	0.1209	0.00203908
Trhr	0.999216	0.000775219	8.40118e-06
Trhde	0.999657	0.000338975	3.91869e-06
Trex2	0.795321	0.200801	0.00387787
Treml4	0.998953	0.00103577	1.10807e-05
Treml2$LOC100047904	0.990533	0.00936108	0.000105919
Treml1	0.651815	0.340293	0.00789217
Trem3	0.95078	0.0485408	0.000678905
Trem1	0.985905	0.0139312	0.00016372
Treh	0.997695	0.00228077	2.41417e-05
Trat1	0.997088	0.00288099	3.06041e-05
Traf6	0.75607	0.239055	0.00487446
Traf5	0.951851	0.0474869	0.000661635
Traf3ip3	0.978127	0.0216061	0.000267343
Traf1	0.98479	0.0150314	0.000178104
Tpte	0.788419	0.207534	0.0040478
Tpsg1	0.910072	0.0885366	0.00139127
Tpsb2	0.982066	0.0177198	0.00021394
Tpsab1	0.984081	0.015732	0.00018735
Tppp	0.99955	0.000445291	5.016e-06
Tpo	0.652384	0.339742	0.00787416
Tph1	0.992223	0.00769123	8.56722e-05
Tpcn2	0.946524	0.0527277	0.000748345
Tpbpb	0.999247	0.000744426	8.08525e-06
Tpbpa	0.999102	0.00088892	9.56886e-06
Tpbg	0.514963	0.472225	0.0128124
Tox3	0.966714	0.0328552	0.000431182
Tox2	0.975087	0.0246034	0.000309719
Tor3a$LOC100047963	0.715804	0.278222	0.00597434
Tnxb	0.977712	0.0220153	0.00027307
Tns4	0.943274	0.0559234	0.000802219
Tnrc4	0.641587	0.350194	0.00821923
Tnp1	0.998005	0.00197399	2.088e-05
Tnnt3	0.996524	0.00343924	3.67067e-05
Tnnt2	0.988572	0.0112979	0.000130012
Tnni3k	0.985326	0.0145024	0.000171167
Tnni3	0.863014	0.134655	0.0023319
Tnni2	0.987165	0.0126869	0.000147663
Tnni1	0.90526	0.0932581	0.00148205
Tnnc2	0.986897	0.0129522	0.000151067
Tnnc1	0.874211	0.123692	0.0020977
Tnn	0.775968	0.219672	0.00436006
Tnmd	0.994599	0.00534261	5.81205e-05
Tnk1	0.790888	0.205125	0.00398673
Tnfsf8	0.972233	0.0274165	0.000350366
Tnfsf4	0.977907	0.021823	0.000270377
Tnfsf14	0.991808	0.00810134	9.0597e-05
Tnfsf13b	0.991952	0.00795917	8.88861e-05
Tnfsf11	0.847399	0.149932	0.00266889
Tnfsf10	0.990693	0.00920337	0.000103985
Tnfrsf9	0.926214	0.0726892	0.00109647
Tnfrsf8	0.934116	0.0649263	0.000957867
Tnfrsf25	0.962788	0.0367221	0.000490318
Tnfrsf19	0.741802	0.252943	0.00525511
Tnfrsf18	0.96997	0.0296467	0.000383159
Tnfrsf17	0.990049	0.0098393	0.000111809
Tnfrsf14	0.971169	0.0284656	0.00036573
Tnfrsf13c	0.903829	0.0946621	0.0015093
Tnfrsf13b	0.993947	0.00598786	6.55739e-05
Tnfrsf11b	0.982743	0.0170522	0.000204952
Tnfrsf11a	0.910095	0.088514	0.00139084
Tnfrsf10b	0.97247	0.0271828	0.000346957
Tnfaip8l2	0.933782	0.0652547	0.00096365
Tnfaip3	0.755491	0.239619	0.00488971
Tnf	0.677289	0.315608	0.00710273
Tmub1	0.52771	0.459991	0.0122991
Tmtc2	0.973399	0.026267	0.000333656
Tmtc1	0.984781	0.0150411	0.000178232
Tmprss4	0.854539	0.142947	0.00251331
Tmprss3	0.895181	0.103142	0.00167629
Tmprss2	0.982019	0.0177669	0.000214576
Tmprss13	0.980385	0.019378	0.000236504
Tmprss11f	0.99942	0.000573965	6.33735e-06
Tmprss11e	0.999689	0.000307846	3.59554e-06
Tmprss11d	0.999385	0.000608032	6.6867e-06
Tmprss11a	0.999312	0.000681009	7.4349e-06
Tmod4	0.992709	0.00721111	7.99478e-05
Tmod2$LOC100048637	0.990002	0.00988558	0.000112381
Tmigd1	0.999428	0.00056568	6.25237e-06
Tmie	0.961149	0.0383358	0.000515386
Tmhs	0.988595	0.0112757	0.000129732
Tmem91	0.977639	0.0220868	0.000274072
Tmem90a	0.830615	0.166341	0.00304436
Tmem86b	0.993156	0.00676968	7.47252e-05
Tmem82	0.9006	0.0978285	0.00157116
Tmem80	0.790667	0.205341	0.0039922
Tmem74	0.99459	0.00535159	5.82236e-05
Tmem71	0.993208	0.0067178	7.4114e-05
Tmem67	0.990868	0.00903047	0.00010187
Tmem63c	0.970356	0.0292668	0.000377539
Tmem62	0.794399	0.2017	0.00390042
Tmem59	0.999529	0.000466182	5.23087e-06
Tmem56	0.998454	0.00152959	1.6206e-05
Tmem54	0.973058	0.0266034	0.000338532
Tmem53	0.688952	0.304295	0.00675292
Tmem46	0.893204	0.105081	0.00171504
Tmem45b	0.903926	0.0945664	0.00150744
Tmem44	0.977881	0.0218481	0.000270727
Tmem38a	0.748664	0.246265	0.00507081
Tmem35	0.91817	0.0805889	0.00124149
Tmem28	0.997945	0.00203391	2.15148e-05
Tmem27	0.999695	0.00030103	3.52462e-06
Tmem26	0.999444	0.000550394	6.09557e-06
Tmem25	0.90766	0.090903	0.00143661
Tmem184a	0.910587	0.0880318	0.00138165
Tmem182	0.998158	0.00182289	1.9284e-05
Tmem178	0.995994	0.0039634	4.25134e-05
Tmem174	0.995232	0.00471689	5.09831e-05
Tmem17	0.978928	0.0208159	0.00025634
Tmem16d	0.997833	0.00214403	2.26843e-05
Tmem16c	0.984677	0.0151438	0.000179583
Tmem16a	0.860494	0.13712	0.00238546
Tmem169	0.997471	0.00250274	2.65193e-05
Tmem166	0.93591	0.063163	0.000926943
Tmem162	0.979994	0.0197639	0.000241803
Tmem154	0.997709	0.0022673	2.39979e-05
Tmem144	0.757846	0.237327	0.00482779
Tmem143$2900057H02Rik	0.621159	0.369951	0.00889043
Tmem142b	0.931316	0.0676774	0.00100653
Tmem140	0.975453	0.0242429	0.00030457
Tmem139	0.975165	0.0245265	0.000308619
Tmem132e	0.98771	0.0121488	0.00014079
Tmem130	0.994846	0.00509851	5.53253e-05
Tmem125	0.881315	0.116733	0.00195238
Tmem119	0.667539	0.325061	0.00740072
Tmem118	0.888184	0.110001	0.00181435
Tmem117	0.945718	0.05352	0.000761633
Tmem116	0.832476	0.164522	0.00300205
Tmem112	0.529242	0.45852	0.0122382
Tmem108$LOC100045503	0.887696	0.11048	0.00182407
Tmem104	0.994626	0.00531667	5.78228e-05
Tmem103	0.78245	0.213354	0.00419657
Tmem100	0.996612	0.00335203	3.57478e-05
Tmem10	0.953007	0.0463496	0.000643094
Tmeff2	0.961305	0.0381816	0.000512981
Tmco5	0.99793	0.00204859	2.16705e-05
Tmco4	0.626789	0.364508	0.00870299
Tmco3	0.628875	0.362491	0.00863404
Tmcc2	0.518569	0.468765	0.0126659
Tmc7	0.609189	0.381516	0.0092952
Tmc5	0.98419	0.0156239	0.000185919
Tmc2	0.992749	0.00717147	7.94773e-05
Tmc1	0.994094	0.00584221	6.38835e-05
Tm7sf4	0.919881	0.0789088	0.00121032
Tm6sf2	0.984387	0.0154295	0.000183349
Tm4sf4	0.810969	0.18553	0.003501
Tm4sf20	0.998267	0.00171436	1.8142e-05
Tlx3	0.614546	0.376341	0.00911297
Tlx1	0.881577	0.116476	0.00194708
Tlr8	0.899602	0.0988077	0.00159042
Tlr7	0.989597	0.0102854	0.000117339
Tlr6	0.844068	0.15319	0.00274233
Tlr5	0.918287	0.080474	0.00123935
Tlr4	0.992534	0.00738437	8.20084e-05
Tlr3	0.997124	0.00284559	3.022e-05
Tlr2	0.88848	0.109712	0.00180847
Tlr13	0.991976	0.00793586	8.8606e-05
Tlr12	0.882331	0.115737	0.00193181
Tlr1	0.998611	0.00137454	1.45892e-05
Tlm	0.989492	0.0103898	0.000118638
Tll2	0.99842	0.00156295	1.65547e-05
Tll1	0.985136	0.0146905	0.000173629
Tle2	0.967167	0.0324083	0.000424436
Tktl2	0.988845	0.0110288	0.000126628
