A0AUP1	0.360992	-0.0775284	0.0325038	0.171187	0.152769	0.0134718	-0.151889	0.0693762	<nodata>	-0.0345554	<nodata>	0.0521138	<nodata>	-0.41313	<nodata>	0.136422	<nodata>	-0.912281	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.00810028	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A2AG58	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.309007	-0.0320351	-0.086321	0.0870076	0.218474	0.12487	0.103567	<nodata>
A2AGH6	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0526836	0.171556	-0.0391245	0.043439	-0.0817191	0.100638	-0.0223732	-0.307976
A2AJI0	<nodata>	-0.151261	<nodata>	0.0884771	<nodata>	-0.271008	-0.529599	<nodata>	<nodata>	-0.065508	0.242498	0.118525	<nodata>	-0.10373	0.54886	0.568644	<nodata>	-0.0493828	0.713421	-0.292071	0.106966	0.0628284	0.270474	0.221544	0.0244606	0.220494	0.18856	-0.127348	-0.0310345	0.517998	0.512526	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.00565135
A2ALU4	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.886434	<nodata>	0.256718	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A2APV2	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.26731	-0.106288	-0.171103	0.280101	0.617349	-0.0409187	-0.70041	-0.153992	0.361343	-0.466126	<nodata>
A2AQ07	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0594745	0.0177731	-0.538361	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A2AQP0	0.0465951	-0.295744	-0.127151	-0.542843	0.117398	-0.33491	-0.319277	-0.642546	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0208792	0.0257224	0.265495	-0.157482	0.136472	-0.0562032	-0.44855	-0.196004	0.130908	-0.560855	-0.303795	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A2AR02	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.755653	<nodata>
A2ARA8	-0.0280722	0.140867	0.0657472	-0.393855	-0.179858	0.0284711	-0.402534	-0.386331	<nodata>	-0.247962	0.0217012	-0.197083	<nodata>	-0.0645344	-0.0729557	-0.30246	<nodata>	-0.0958069	-0.267522	<nodata>	-0.353517	-0.11315	-0.153146	-0.103297	0.0131601	0.00586926	-0.366255	-0.00280131	0.00739055	-0.153688	-0.413496	-0.488365	-0.339126	-0.674142	-0.12975	0.328082	-0.219725	-0.597346	-0.262718	0.43663	-0.259086	<nodata>
A2ARV4	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0675686	0.113156	0.422478	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A2ASQ1	-0.0522511	-0.180527	-0.516866	-0.398371	-0.0737298	-0.00798931	-0.301996	0.104993	<nodata>	-0.124728	-0.281469	-0.589673	<nodata>	-0.0339809	-0.275056	<nodata>	<nodata>	-0.0589289	-0.8255	-0.161894	0.149963	-0.0275355	0.495333	-0.0125436	-0.00154443	-0.0267659	-0.233193	-0.200077	0.0981436	0.0617102	-0.452749	-0.115293	-0.0941053	-0.39468	0.163023	0.185439	0.0545473	-0.136148	0.0638641	0.152642	0.0318092	-0.210932
A2AVA0	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0103043	<nodata>	<nodata>	<nodata>	-0.308598	<nodata>	<nodata>	<nodata>	-0.486171	0.0860045	-0.191124	-0.446894	0.0197252	0.201497	0.261549	-0.161071	-0.0547642	-0.29881	0.015783	0.197159	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A2AWA9	<nodata>	0.101692	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.442346	<nodata>	<nodata>	<nodata>	0.293087	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.103932	-0.0115264	-0.00933832	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A2BH40	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0935794	-0.0170115	0.0523979	<nodata>	0.490998	-0.0825161	0.0223662	<nodata>	0.263834	-0.36694	-0.238893	-0.148167	-0.059554	-0.222368	<nodata>	<nodata>	0.395787	-0.767382	-0.0781766	-0.0944141	-0.082977	-0.213153	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A2RT62	0.0329723	-0.00904995	-0.108808	-0.117674	0.0144979	0.00910977	-0.0905378	-0.133829	<nodata>	0.0176598	-0.0696085	-0.227248	<nodata>	-0.143354	0.0167996	-0.187795	<nodata>	-0.104136	-0.233302	2.80729	-0.235984	<nodata>	0.363298	-0.407427	-2.25743	0.193953	-0.514833	-1.14337	<nodata>	-1.24336	-3.04889	-0.0857787	-0.150841	-0.226775	0.0210145	0.20641	-0.916637	1.01157	0.00859899	0.0925177	-1.65303	1.83795
A2RT67	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A3KGF7	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.459997	-0.298811	-0.454703	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A3KGS3	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A3KGV1	<nodata>	<nodata>	-0.158039	-0.0893134	<nodata>	<nodata>	0.208573	-0.126084	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.183136	<nodata>	<nodata>	-0.194544	<nodata>	0.528734	0.047201	<nodata>	<nodata>	0.428373	0.0220348
A3KMP2	0.083036	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.281406	<nodata>	<nodata>	-0.551961	<nodata>	<nodata>	<nodata>	-0.106555	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.00321603	-0.114676	0.350875	0.0225769	<nodata>	<nodata>	<nodata>	0.19594	-0.303226	<nodata>	<nodata>	-0.377942	-0.327737	-0.828046	<nodata>	<nodata>	-0.184466	<nodata>	<nodata>	<nodata>	-0.849015	<nodata>
A6BLY7	0.339101	-0.387144	-0.329914	0.209874	0.27107	-0.626266	-0.0475684	-0.514393	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0778268	0.00172408	-0.186771	-0.225492	-0.0823435	0.0296336	-0.0283703	-0.291944	-0.186489	<nodata>	-0.202511	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A6H5X4	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.156569	<nodata>	-0.246383	<nodata>	<nodata>	<nodata>	0.328604	<nodata>	<nodata>	<nodata>	-0.596955	<nodata>	0.17634
A6H6E2	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
A6X8Z5	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0613054	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
B1AQ75	0.339101	-0.387144	-0.329914	0.209874	0.27107	-0.626266	-0.0475684	-0.514393	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0778268	0.00172408	-0.186771	-0.225492	-0.0823435	0.0296336	-0.0283703	-0.291944	-0.186489	<nodata>	-0.202511	0.093077	-0.172563	-0.0892682	0.360253	0.220494	0.139458	-0.0558055	0.399383
B1AY10	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.549282	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
B1AZI6	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.133989	-0.306741	0.112564	-0.505704	-0.102991	-0.162692	-0.105742	<nodata>	-0.0883647	-0.246171	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.102723	-0.472284	-0.355368	-0.0416728	-0.246175	-0.253385	-0.0995611	-0.0371099	-0.166794	-0.399246	-0.383956
B2RSH2	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.262093	0.47002	-0.209158	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
B2RU80	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.24087	-0.283006	0.373547	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0790463	-0.170709	-0.0185	<nodata>	0.162602	-0.0878401	-0.00591218	<nodata>
B2RUP2	<nodata>	<nodata>	-0.0274732	<nodata>	<nodata>	<nodata>	-0.275121	<nodata>	0.367247	<nodata>	-0.0189352	<nodata>	0.57321	<nodata>	-0.194638	<nodata>	0.394938	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.131902	-0.141039	-0.382221	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0813943	-0.236282	0.301295	<nodata>	<nodata>	<nodata>	-0.425232	<nodata>	<nodata>	<nodata>	-0.102267
B2RVL6	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.00721938
B2RXC1	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.372062	<nodata>	-0.608584	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
B2RXR6	-0.268399	<nodata>	-0.136522	-0.0556804	0.118195	<nodata>	-0.10015	0.15241	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0958377	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.476008	<nodata>	-0.255117	-0.0755817	-0.0807695	-0.292747	-0.144266	-0.414858	0.020809	-0.522508	-0.840783
B8ZXI1	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
D0QMC3	<nodata>	<nodata>	1.05816	<nodata>	<nodata>	<nodata>	1.19086	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.69993	<nodata>	<nodata>	1.03652	1.02627	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
D3Z6Q9	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.225935	0.093036	-0.200018	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
E9Q557	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.149355	-0.0648008	-0.444149	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O08528	0.207427	0.194634	-0.266126	<nodata>	-0.209806	0.220823	<nodata>	<nodata>	-0.614	-0.274361	-0.127226	<nodata>	-0.239767	0.00369973	0.0139761	0.129709	-0.24696	0.0555555	-0.312218	-0.233956	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0052359	-0.143937	-0.220798	<nodata>	-0.270491	-0.336503	-0.155715	0.0771353	-0.348651	<nodata>	<nodata>	0.108264	-0.585015	<nodata>	<nodata>
O08529	0.0931968	-0.0873407	-0.0776538	-0.546277	0.285426	-0.215685	-0.14176	0.0791845	-0.113961	0.0338688	0.0722188	-0.128999	-0.290962	-0.0284637	-0.0314145	-0.150284	-0.0521846	0.00177269	-0.249951	<nodata>	0.0194068	0.0847079	0.0977529	-0.056063	0.030173	0.0262839	-0.26752	0.0238948	0.102531	-0.0798282	-0.246976	-0.162267	-0.113874	-0.686681	0.126233	0.0228734	-0.141163	-0.160231	0.0846545	-0.0129755	-0.0782601	-0.29549
O08530	0.334915	-0.239418	<nodata>	<nodata>	<nodata>	-0.0439729	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0894108	-0.175986	-0.18755	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O08532	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
O08539	-0.00549059	0.00655625	0.0243146	-0.0152025	-0.0229973	0.0378332	-0.0355344	0.0412012	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.180429	-0.0286589	-0.263382	<nodata>	<nodata>	1.0014	<nodata>	<nodata>	<nodata>	1.35143	<nodata>
