Loci	ips_0	ips_1	ips_2	pips_0	pips_1	pips_2	mef_0	mef_1	mef_2
Zhx3	0.975801	0.0241454	5.37937e-05	0.9804	0.0196003	4.27314e-08	0.976893	0.0230926	1.42843e-05
Zhx2	0.000406863	0.999261	0.000331683	0.000408566	0.999521	7.02874e-05	0.000126314	0.997998	0.00187594
Zfyve28	0.734896	0.264652	0.00045232	0.752083	0.247917	1.39483e-07	0.743445	0.256505	4.96798e-05
Zfyve27	0.796293	0.203645	6.22835e-05	0.800558	0.199442	2.07172e-07	0.791705	0.208277	1.80054e-05
Zfyve16	0.958077	0.041847	7.65036e-05	0.970815	0.0291853	1.47133e-08	0.96535	0.0346177	3.20114e-05
Zfy1	0.996895	0.00310493	9.51281e-08	0.997549	0.00245065	8.10587e-11	0.965496	0.0344638	4.01509e-05
Zfpm2	0.00183349	0.997963	0.000203484	0.00230408	0.997692	4.09805e-06	0.00113312	0.998377	0.000489627
Zfp94	0.985734	0.0142431	2.29539e-05	0.98797	0.0120301	1.17283e-07	0.984589	0.0153922	1.86012e-05
Zfp92	0.533589	0.466382	2.92296e-05	0.540601	0.459398	1.23447e-08	0.535551	0.464432	1.69055e-05
Zfp9	0.501567	0.498408	2.57816e-05	0.502825	0.497131	4.38545e-05	0.000186975	0.363754	0.636059
Zfp82	0.995902	0.00403535	6.25595e-05	0.997593	0.00240722	3.70594e-08	0.996406	0.00358833	5.72077e-06
Zfp811	0.998773	0.00122468	2.01191e-06	0.999997	3.43845e-06	3.85038e-11	0.999975	2.53343e-05	6.13284e-09
Zfp804a	1	1.56433e-07	3.20639e-10	1	2.45071e-12	1.58987e-14	0.999998	2.1275e-06	7.32086e-10
Zfp787$LOC100041228	0.457875	0.542122	2.36896e-06	0.460274	0.539726	4.8273e-09	0.448389	0.551598	1.34741e-05
Zfp786	0.999934	6.5205e-05	8.59993e-07	1	7.86846e-08	2.06334e-11	0.999895	0.000104548	5.0209e-08
Zfp784	0.99959	0.000409562	3.71988e-07	0.999772	0.000227903	6.77676e-10	0.997219	0.00277972	1.41202e-06
Zfp78	0.999917	8.19868e-05	1.38053e-06	0.999989	1.07447e-05	3.8439e-10	0.998343	0.00165681	6.36126e-07
Zfp768	0.00917812	0.990682	0.000139701	0.00881571	0.991129	5.56053e-05	0.00694381	0.991848	0.00120791
Zfp759	0.999902	9.65944e-05	1.17537e-06	0.999999	1.14063e-06	5.34011e-10	0.999945	5.45598e-05	1.56268e-07
Zfp750	0.999696	0.000303311	5.70398e-07	0.999882	0.000117985	1.48787e-08	0.999717	0.000282673	6.92998e-09
Zfp75	0.997947	0.00205156	1.66808e-06	0.999804	0.000195582	1.18797e-10	0.999003	0.000996967	1.70668e-07
Zfp711	0.999819	0.000181277	2.11261e-07	0.999999	1.42364e-06	1.7744e-10	0.999995	5.1774e-06	1.85863e-09
Zfp709	0.999975	2.52759e-05	1.57207e-08	1	4.18894e-07	6.8821e-13	0.998649	0.00135032	1.80663e-07
Zfp708	0.999997	2.3931e-06	7.32692e-07	1	8.25765e-10	4.03402e-11	0.999992	7.66515e-06	5.78954e-07
Zfp697	0.99151	0.0084849	5.25702e-06	0.994586	0.00541426	1.99759e-09	0.991152	0.00884469	2.85363e-06
Zfp689	0.999836	0.000161868	1.7708e-06	0.999998	2.07906e-06	1.64795e-10	0.999965	3.51594e-05	3.57146e-08
Zfp677	0.731023	0.26892	5.69932e-05	0.736432	0.263568	2.94074e-08	0.633399	0.366393	0.000207938
Zfp672	0.990367	0.00963263	2.47514e-07	0.985918	0.0140788	3.16738e-06	0.714893	0.284013	0.00109421
Zfp661	0.994848	0.00512514	2.67845e-05	0.996034	0.00396566	2.61288e-08	0.994249	0.00574115	1.01231e-05
Zfp653	0.988335	0.0116258	3.96323e-05	0.990168	0.00983177	1.33252e-07	0.987643	0.0123524	4.71397e-06
Zfp629	0.146915	0.853008	7.74252e-05	0.146989	0.852997	1.40207e-05	0.144271	0.855235	0.000493575
Zfp619	0.987801	0.0121874	1.20459e-05	0.990841	0.00915906	1.36793e-09	0.981823	0.0181687	8.13923e-06
Zfp612	0.945751	0.0541889	5.96333e-05	0.951454	0.0485461	4.67462e-08	0.949427	0.0505685	4.3695e-06
Zfp608	0.998891	0.00109844	1.10369e-05	0.999995	4.55214e-06	8.79652e-10	0.999986	1.35049e-05	3.9071e-09
Zfp606	0.996602	0.00338135	1.70012e-05	0.999941	5.89783e-05	2.71456e-10	0.999856	0.000143908	4.43782e-07
Zfp597	0.999902	9.4298e-05	3.99585e-06	0.999984	1.62522e-05	1.56049e-09	0.992164	0.00779679	3.88615e-05
Zfp595	0.852765	0.147223	1.19184e-05	0.857548	0.142452	6.02354e-09	0.847833	0.152151	1.60695e-05
Zfp59	0.999996	3.91201e-06	6.67625e-09	1	1.42727e-10	4.50838e-13	0.999989	1.08194e-05	2.10749e-09
Zfp583	0.998531	0.00144402	2.46228e-05	0.999828	0.000172352	1.40707e-09	0.998897	0.00110241	2.78316e-07
Zfp563	0.998387	0.00161114	1.75117e-06	0.998745	0.00125535	9.36867e-09	0.995035	0.00496244	2.48535e-06
Zfp551	0.999538	0.000460623	1.63226e-06	0.999997	3.47026e-06	5.85777e-11	0.999718	0.000281421	7.77193e-07
Zfp541	0.972602	0.0273952	2.64154e-06	0.97938	0.0206197	2.31492e-10	0.975324	0.0246756	6.32825e-07
Zfp536	0.999985	1.51558e-05	1.874e-07	1	7.06565e-08	2.5134e-11	0.999456	0.00054411	3.36533e-07
Zfp53$LOC100044273	0.00949366	0.9905	6.618e-06	0.00991347	0.990087	4.5521e-09	0.00737424	0.992547	7.83104e-05
Zfp524	0.9884	0.0115917	8.44534e-06	0.988319	0.0116794	1.45418e-06	0.984591	0.0153935	1.50727e-05
Zfp521	0.998212	0.00178726	9.43226e-07	0.99833	0.00167003	4.87907e-09	0.0331766	0.949087	0.0177366
Zfp52	1	7.69069e-08	7.91335e-09	1	1.87885e-10	1.01498e-12	0.999991	8.71867e-06	2.49184e-09
Zfp509	0.999973	2.6884e-05	4.86365e-08	1	4.58558e-07	3.90428e-11	0.999849	0.000150717	3.73462e-08
Zfp503	0.0329749	0.966809	0.00021645	0.0333161	0.966625	5.85483e-05	0.00177702	0.979112	0.0191107
Zfp474	0.99941	0.000588598	1.70161e-06	0.99991	8.95497e-05	2.87964e-10	0.998855	0.00114497	4.97606e-07
Zfp467	0.998814	0.00117977	6.41107e-06	0.999504	0.000495592	1.4457e-09	0.99346	0.00653432	5.75628e-06
Zfp458	0.999997	2.8044e-06	3.25017e-09	1	4.90673e-09	2.22483e-12	0.999946	5.44839e-05	1.26999e-08
Zfp455	0.999999	7.59644e-07	8.6563e-10	1	2.85633e-11	7.01168e-14	0.999952	4.76944e-05	2.87914e-08
Zfp454	0.00349551	0.996383	0.000121764	0.00381647	0.996182	1.9511e-06	0.00374928	0.995523	0.000727699
Zfp40	0.999973	2.66691e-05	7.74274e-07	1	1.71551e-10	4.54693e-12	0.999989	1.07109e-05	3.75313e-08
Zfp398	0.999856	0.000140678	3.148e-06	0.999999	7.72764e-07	2.03377e-10	0.999851	0.000149004	7.9861e-08
Zfp39	0.999509	0.000483684	7.20412e-06	0.999994	5.58437e-06	4.27301e-10	0.99957	0.000427759	1.86942e-06
Zfp358	0.0999983	0.899941	6.02716e-05	0.100788	0.89921	2.1217e-06	0.0947505	0.904875	0.000374539
Zfp354b	0.999306	0.000692265	1.25858e-06	0.999995	5.10608e-06	8.52103e-12	0.999599	0.000401027	4.39758e-07
Zfp334	0.999877	0.000122867	1.75234e-07	1	2.2016e-08	9.97288e-13	0.999997	3.12544e-06	1.68515e-09
Zfp324	0.999917	8.19975e-05	1.31216e-06	0.999953	4.72723e-05	4.87526e-09	0.99791	0.00208314	6.85342e-06
Zfp319	0.99978	0.000218144	1.8353e-06	0.999966	3.37801e-05	1.61191e-09	0.999646	0.000353602	1.04089e-07
Zfp316	0.998852	0.00114366	3.94059e-06	0.999746	0.000253694	1.12138e-08	0.999648	0.000351963	3.08157e-07
Zfp30	0.986127	0.0138577	1.51309e-05	0.987079	0.0129208	2.34994e-08	0.978843	0.0211339	2.35033e-05
Zfp3	0.999773	0.000215154	1.22551e-05	0.999994	6.27874e-06	6.47652e-09	0.999865	0.000134282	3.34646e-07
Zfp287	0.955428	0.0445592	1.27331e-05	0.965838	0.0341619	2.1876e-09	0.956993	0.0429978	9.19274e-06
Zfp286	0.78396	0.21595	9.05817e-05	0.793447	0.206553	6.76543e-08	0.76869	0.231078	0.000231315
Zfp282	0.0755464	0.924395	5.8905e-05	0.0762392	0.923756	4.714e-06	0.0752367	0.924253	0.000510762
Zfp28	0.999854	0.000137969	7.81279e-06	0.999984	1.60991e-05	6.14256e-10	0.996743	0.00324439	1.21739e-05
Zfp276	0.92263	0.077297	7.28489e-05	0.926656	0.0733436	5.92648e-07	0.919054	0.0809177	2.87852e-05
Zfp273	0.999977	1.25898e-05	1.0083e-05	1	1.35508e-07	4.94129e-10	0.999988	1.18659e-05	2.24608e-07
Zfp27	0.999992	5.59296e-06	2.85436e-06	1	2.1842e-07	5.5012e-09	0.999938	6.07054e-05	1.23475e-06
Zfp248	0.998155	0.00184379	1.63815e-06	0.999879	0.000120972	5.37518e-10	0.99949	0.000509419	1.62496e-07
Zfp213	0.674852	0.325125	2.34061e-05	0.683703	0.316297	6.38835e-08	0.681191	0.318782	2.74155e-05
Zfp202	0.999031	0.000966761	2.11629e-06	0.999074	0.000925576	9.17295e-08	0.981729	0.0181817	8.92863e-05
Zfp2	0.999537	0.000454846	7.7509e-06	0.999883	0.000116997	1.43246e-09	0.999142	0.00085437	4.06201e-06
Zfp189	1	1.15497e-07	2.3489e-09	1	3.89434e-10	1.02615e-12	0.999996	4.11592e-06	3.54309e-09
Zfp182	0.974324	0.0256636	1.25749e-05	0.975858	0.0241422	1.32384e-08	0.971479	0.0285051	1.5598e-05
Zfp179	0.871262	0.128734	3.36161e-06	0.890478	0.109522	1.04312e-10	0.883398	0.116602	3.70591e-07
Zfp169	0.930231	0.0696271	0.000141834	0.934677	0.0653222	7.24959e-07	0.919458	0.0803976	0.0001445
Zfp142	0.999912	8.27645e-05	4.9146e-06	0.999999	1.21933e-06	1.22322e-09	0.999839	0.000160449	4.68066e-07
Zfp14	0.999842	0.000158312	1.41554e-07	0.999955	4.48325e-05	9.69074e-11	0.997416	0.0025828	7.46256e-07
Zfp128	0.99499	0.00499861	1.16018e-05	0.99639	0.00361021	7.65558e-09	0.992594	0.00739812	7.64617e-06
Zfp119	0.97287	0.0271292	1.17388e-06	0.976215	0.0237848	5.24788e-10	0.971159	0.0288399	6.68692e-07
Zfp113	0.999998	2.2265e-06	2.48599e-07	1	1.6014e-07	1.23244e-09	0.999804	0.000195563	4.37351e-07
Zfp112	0.096763	0.903161	7.58064e-05	0.0982836	0.901716	6.743e-07	0.0948282	0.904708	0.000463728
Zfp111	0.87687	0.123092	3.8658e-05	0.877829	0.12217	9.49218e-07	0.862727	0.137157	0.000116145
Zfp11	0.00807302	0.991876	5.09151e-05	0.0081933	0.991805	1.93818e-06	0.00841959	0.99137	0.000210492
Zfp109	0.88239	0.117601	9.42956e-06	0.885042	0.114958	2.32586e-08	0.875871	0.124034	9.51934e-05
Zfp108	0.999962	3.69649e-05	8.57467e-07	1	3.55949e-07	1.05227e-10	0.999764	0.000235935	1.93136e-07
Zfhx4	0.711691	0.288305	3.06192e-06	0.63635	0.36319	0.00045978	0.0159703	0.963614	0.0204159
Zfat1	0.698244	0.301753	3.14606e-06	0.703411	0.296589	3.32796e-09	0.696313	0.303682	5.19177e-06
Zer1	0.999976	2.40394e-05	2.22747e-08	1	4.39641e-09	8.36023e-13	0.999959	4.11077e-05	7.93437e-09
Zeb2	0.999991	8.4771e-06	1.87093e-07	0.999998	1.74173e-06	4.15873e-10	0.865025	0.134505	0.000470054
Zdhhc25	0.999985	1.4568e-05	4.81822e-08	1	3.9732e-09	3.14511e-12	0.999961	3.88965e-05	1.17382e-08
Zdhhc22	0.830275	0.16963	9.51555e-05	0.836474	0.163526	4.03368e-07	0.825981	0.173933	8.61853e-05
Zdhhc2	0.0132125	0.986655	0.000132339	0.0132741	0.986699	2.70163e-05	0.0017067	0.986743	0.0115501
Zdhhc19	0.999992	8.37073e-06	1.47389e-08	1	1.03013e-07	8.7594e-12	0.999685	0.000314716	4.92031e-08
Zdhhc17	0.99024	0.00975547	4.504e-06	0.991331	0.00866943	1.79683e-08	0.984693	0.0152985	8.49742e-06
Zdhhc14	0.996082	0.00391567	1.85284e-06	0.996367	0.00363291	9.85867e-09	0.989685	0.0103028	1.25494e-05
Zdhhc11	0.999995	5.29021e-06	8.8391e-10	1	1.27026e-09	5.68682e-14	0.999916	8.40422e-05	2.07697e-09
Zcchc5	0.0884321	0.911566	2.15159e-06	0.0889422	0.911058	2.67256e-09	0.00445234	0.995349	0.000198599
Zcchc4	0.233115	0.766392	0.000492889	0.241821	0.758143	3.61184e-05	0.244018	0.755612	0.000370287
Zcchc18	0.918036	0.0818476	0.000116759	0.928621	0.0713794	1.12596e-08	0.9189	0.0810735	2.61968e-05
Zc3hav1	0.996625	0.00336535	9.55717e-06	0.998317	0.00168347	7.16136e-09	0.997626	0.00237295	5.73434e-07
Zc3h7a	0.993091	0.00660638	0.000302917	0.997356	0.00264267	8.36285e-07	0.995072	0.00490505	2.28199e-05
Zc3h6	0.459849	0.539976	0.000175027	0.469418	0.530581	1.1943e-06	0.466513	0.533365	0.000122343
Zc3h12d	0.999837	0.000163296	8.46367e-09	1	1.00789e-07	4.92603e-13	0.999975	2.49001e-05	7.78766e-11
Zbtb8os	1	9.14673e-11	5.27657e-10	1	3.38589e-10	1.20977e-11	1	3.96455e-08	2.47148e-10
Zbtb7c	0.0380993	0.961827	7.36226e-05	0.0386157	0.961379	5.43439e-06	0.0394094	0.960396	0.000194676
Zbtb46	0.99878	0.00119427	2.55718e-05	0.999899	0.000100786	1.91339e-09	0.999031	0.000966524	2.5963e-06
Zbtb4	0.00993034	0.989763	0.000306459	0.0089555	0.990799	0.000245991	0.00466076	0.992201	0.0031378
Zbtb38	0.999865	0.000132966	2.4523e-06	1	1.7157e-07	1.56697e-10	0.999963	3.66008e-05	9.98159e-08
Zbtb37	1	1.81307e-12	7.0752e-09	1	5.60628e-12	6.39403e-13	1	1.43959e-09	3.2758e-10
Zbtb20	0.140707	0.859263	3.02948e-05	0.140259	0.859737	4.43619e-06	0.126158	0.873405	0.000437079
Zbtb16	0.621427	0.378504	6.83997e-05	0.625916	0.374083	1.78996e-07	0.61368	0.386161	0.000158813
Zbed3	0.999806	0.000187386	6.4868e-06	0.999954	4.57195e-05	1.32882e-08	0.99964	0.000359866	5.15221e-08
Zan	0.237299	0.762498	0.000203431	0.2449	0.755099	1.24427e-06	0.234142	0.765533	0.000324371
Ypel4	0.99978	0.000219402	1.16337e-07	0.999999	5.73172e-07	2.61669e-12	0.999684	0.000315468	7.02988e-08
Ypel1	0.975995	0.0239291	7.61381e-05	0.979062	0.020938	1.18118e-07	0.959677	0.0402209	0.000102005
Yod1	0.999986	1.34304e-05	6.37877e-07	1	2.84299e-07	7.38885e-10	0.99984	0.000159535	2.9655e-07
Xtrp3s1	0.999981	1.91703e-05	3.10048e-10	1	6.36246e-08	1.45439e-15	0.999022	0.000977946	7.49814e-09
Xpnpep2	0.00207389	0.997908	1.78295e-05	0.00190794	0.998092	4.75955e-08	0.00179145	0.998189	1.96002e-05
Xkrx	0.998452	0.00154714	1.14829e-06	0.999734	0.000265675	1.05435e-10	0.999124	0.000876347	3.89918e-08
Xkr6	0.993073	0.00692062	6.87279e-06	0.99584	0.00415958	4.42823e-10	0.991396	0.00860313	1.22547e-06
Xkr4	0.999979	2.12268e-05	3.90996e-08	1	6.88402e-09	8.32226e-13	0.999619	0.000380267	3.6181e-07
Xk	0.999593	0.000405326	1.65485e-06	0.99992	8.02032e-05	2.37064e-10	0.998694	0.00130498	7.11748e-07
Xirp1	0.999923	7.63559e-05	5.11199e-07	0.999999	5.23423e-07	4.2933e-11	0.999676	0.000324303	1.94914e-07
Xdh	0.897395	0.102599	6.41883e-06	0.910197	0.0898024	3.40717e-07	0.952546	0.0474536	1.84242e-07
Xcr1	0.999415	0.000584614	4.29129e-08	0.999979	2.09436e-05	2.11958e-12	0.999185	0.000814731	4.61809e-09
Xcl1	0.996251	0.00374896	1.78193e-07	0.998686	0.00131393	1.69982e-11	0.992361	0.0076385	3.08335e-07
Wwox	0.452469	0.547427	0.000104177	0.453899	0.546092	9.59901e-06	0.449915	0.549955	0.000129854
Wscd1	0.993635	0.00633962	2.56886e-05	0.998612	0.00138766	5.07705e-10	0.99706	0.00293813	1.39309e-06
Wnt9b	0.433701	0.566282	1.63446e-05	0.440811	0.559189	6.40578e-10	0.431103	0.568854	4.37165e-05
Wnt9a	0.0376054	0.962332	6.23652e-05	0.0378219	0.962172	5.68888e-06	0.00248735	0.992199	0.00531396
Wnt8b	0.999821	0.00017939	1.24706e-08	0.999991	8.97136e-06	9.37827e-14	0.998001	0.0019988	9.16544e-08
Wnt8a	0.999786	0.000214387	2.6643e-08	0.999998	2.09269e-06	1.94838e-11	0.999967	3.25315e-05	1.28206e-10
Wnt6	0.19738	0.802402	0.000218209	0.202228	0.797768	3.75202e-06	0.19324	0.806131	0.000629727
Wnt5b	0.997032	0.00295535	1.23548e-05	0.99858	0.00141965	1.69445e-09	0.995048	0.004951	6.57013e-07
Wnt5a	0.298633	0.701297	6.93021e-05	0.300597	0.699403	2.6296e-07	0.0389008	0.957867	0.00323241
Wnt4	0.010827	0.989007	0.000166022	0.0113563	0.988639	5.11125e-06	0.0090402	0.989683	0.00127669
Wnt3a	0.872846	0.12705	0.000104496	0.879929	0.120071	9.34549e-08	0.870274	0.129671	5.54903e-05
Wnt2b	0.99922	0.000778611	1.3863e-06	0.999969	3.05989e-05	5.12321e-11	0.99979	0.000209539	1.0299e-07
Wnt2	0.974633	0.0253603	6.75807e-06	0.978963	0.021037	6.00205e-09	0.977022	0.0229734	4.59562e-06
Wnt16	0.187627	0.812334	3.92119e-05	0.195615	0.804385	1.57676e-08	0.195135	0.804859	6.70259e-06
Wnt11	0.0815542	0.918289	0.0001565	0.0855543	0.914445	7.39995e-07	0.0803815	0.919043	0.00057581
Wnt10b	0.950159	0.0495934	0.000247519	0.963789	0.0362113	9.52987e-08	0.959622	0.0403613	1.71395e-05
Wnt10a	0.969959	0.0300323	8.77407e-06	0.971828	0.0281715	1.57592e-09	0.94079	0.0591736	3.61017e-05
Wnt1	0.997545	0.00245052	4.56363e-06	0.999276	0.000724112	1.18063e-10	0.997908	0.00209113	8.84969e-07
Wnk4	0.999423	0.000572272	4.28631e-06	0.999967	3.27681e-05	1.10668e-09	0.999602	0.000397563	2.25182e-07
Wnk2	0.974309	0.0256483	4.27127e-05	0.978376	0.0216244	1.92339e-08	0.9729	0.0270868	1.33664e-05
Wisp1	0.0021366	0.997548	0.0003152	0.00223365	0.99754	0.000226767	3.04816e-09	0.891916	0.108084
Wipi1	0.991538	0.0084459	1.56157e-05	0.992177	0.00782308	4.02099e-08	0.93179	0.0679818	0.000228634
Wif1	0.999319	0.000680549	6.02279e-08	0.999391	0.000609451	4.16095e-08	0.998766	0.00123389	3.34539e-08
Whrn	0.0400393	0.959766	0.000194493	0.0411955	0.958791	1.37718e-05	0.0379907	0.960723	0.00128642
Whdc1	0.998293	0.00170616	6.67716e-07	0.999902	9.7858e-05	5.63229e-11	0.999456	0.000543813	3.32206e-08
Wfikkn2	0.94869	0.0512597	5.00453e-05	0.958568	0.0414319	6.56887e-09	0.951756	0.0482387	5.18191e-06
Wfdc6a	0.999994	6.37584e-06	5.11908e-09	1	3.92334e-09	4.86606e-13	0.999908	9.20389e-05	5.02285e-09
Wfdc5	0.951494	0.0484749	3.0605e-05	0.964257	0.0357427	8.40631e-10	0.950934	0.049064	2.01061e-06
Wfdc3	0.994933	0.00506307	4.3325e-06	0.998131	0.00186887	5.24001e-10	0.997462	0.00253765	4.89289e-07
Wfdc15b	0.998197	0.00180179	1.25328e-06	0.998954	0.00104569	3.15964e-10	0.994371	0.00562683	2.15522e-06
Wfdc12	0.0311473	0.968826	2.61971e-05	0.0342413	0.965759	4.19238e-08	0.0316432	0.968231	0.000125785
Wee2	1	1.62741e-07	7.93346e-10	1	5.75157e-12	8.08858e-14	0.999996	4.05904e-06	1.4267e-09
Wdr86	0.999438	0.000554479	7.1568e-06	0.999999	1.21634e-06	3.21506e-11	0.999917	8.31985e-05	2.3409e-07
Wdr78	1	3.37873e-08	2.83156e-08	1	4.94507e-10	6.87497e-11	0.999999	1.07928e-06	1.43029e-08
Wdr69	1	2.69162e-07	3.23574e-09	1	9.63863e-12	1.38362e-13	0.99999	9.63792e-06	6.87033e-09
Wdr63	1	1.16674e-07	7.77545e-09	1	2.79031e-11	2.19776e-13	0.999753	0.000246349	2.87613e-07
Wdr60	0.00269856	0.997283	1.79627e-05	0.00266625	0.997333	2.70746e-07	0.0015627	0.998046	0.000391466
Wdr5b	0.999999	8.35706e-07	9.95509e-09	1	1.86849e-08	5.63772e-11	0.99978	0.000220095	3.79479e-07
Wdr38	0.959445	0.0405117	4.34922e-05	0.969052	0.0309475	6.77407e-09	0.965138	0.0348576	4.73566e-06
Wdr27	1	2.55e-07	3.70604e-08	1	1.66637e-10	5.22492e-12	0.999998	2.36545e-06	1.10931e-08
Wdr22	0.995133	0.00486436	2.52931e-06	0.996662	0.00333811	2.09233e-10	0.992381	0.00761828	4.0007e-07
Wdr20b	1	4.60685e-07	1.54898e-09	1	1.11239e-11	2.90517e-14	0.999997	2.71212e-06	6.46727e-10
Wdr19	0.994227	0.00576854	4.00562e-06	0.994464	0.0055355	8.58392e-08	0.989697	0.0102929	1.02797e-05
Wdr17	0.999543	0.000457034	2.05704e-07	0.999997	2.87418e-06	1.72698e-11	0.999564	0.000435746	6.07477e-08
Wdr16	0.999995	4.69422e-06	1.02366e-07	1	1.92951e-10	1.76093e-12	0.999991	8.73665e-06	2.03002e-08
Wbscr28	0.294929	0.70505	2.10738e-05	0.300688	0.699312	1.17023e-08	0.282246	0.717691	6.25522e-05
Was	0.994791	0.00519943	9.71089e-06	0.999977	2.31293e-05	1.63622e-11	0.999733	0.000266716	2.92253e-08
Wars2	0.00508566	0.994889	2.49348e-05	0.00523011	0.99477	3.82119e-07	0.0049798	0.994861	0.000158775
Wap	0.984925	0.0150728	2.56681e-06	0.98921	0.0107903	3.55761e-10	0.954486	0.0454824	3.13783e-05
Vwf	0.994085	0.00585188	6.33179e-05	0.999961	3.89291e-05	3.78309e-10	0.999784	0.000216072	1.004e-07
Vwc2	0.999948	5.16679e-05	2.51659e-08	0.999998	1.85995e-06	1.63287e-12	0.998634	0.00136594	1.50306e-07
Vwa2	0.999145	0.000854209	4.51628e-07	0.999886	0.000113652	4.12643e-12	0.99895	0.00104971	1.10134e-07
Vwa1	0.995532	0.00446296	4.81419e-06	0.997514	0.0024863	1.7919e-09	0.995008	0.00499012	1.7398e-06
Vtn	0.995603	0.00439398	2.8223e-06	0.997006	0.00299398	1.97722e-10	0.992295	0.00770194	3.04013e-06
Vti1a	0.978991	0.0210067	2.57587e-06	0.979344	0.0206556	8.99302e-08	0.957575	0.0423727	5.23931e-05
Vtcn1	0.999924	7.58864e-05	3.63029e-08	0.999999	1.10429e-06	4.4159e-11	0.999353	0.000647022	3.94802e-08
Vsx1	0.0561654	0.943833	1.0651e-06	0.0569108	0.943089	6.20074e-10	0.0502967	0.949597	0.000105922
Vstm2	1	3.37074e-08	4.74632e-12	1	4.36045e-12	1.30256e-15	0.999999	6.45651e-07	1.27122e-11
Vsnl1	0.990678	0.00930081	2.14937e-05	0.995913	0.0040868	6.67413e-10	0.992738	0.00725966	1.99656e-06
Vsig8	0.999999	6.62256e-07	8.47675e-09	1	2.9147e-11	1.06998e-12	0.999985	1.50417e-05	2.69704e-08
Vsig2	0.981576	0.0183652	5.84287e-05	0.988854	0.0111461	1.18667e-08	0.979694	0.0202912	1.50106e-05
Vsig1	0.999795	0.000204385	4.54417e-07	1	1.89083e-07	3.33601e-11	0.999989	1.04999e-05	2.03003e-09
Vps37d	0.0974286	0.902503	6.8574e-05	0.099836	0.900163	5.48225e-07	0.0917534	0.907895	0.000351808
Vps13c	0.999785	0.000214958	4.87495e-07	0.999996	3.92888e-06	3.60637e-11	0.999414	0.000585948	1.45877e-07
Vpreb3	0.78036	0.219619	2.10088e-05	0.784256	0.215744	7.82365e-08	0.778265	0.22173	4.96947e-06
Vpreb1	0.999994	6.09233e-06	1.12368e-07	1	1.73675e-09	1.69249e-11	0.999997	2.79793e-06	9.6077e-10
