Loci	mef
1810012P15Rik_mef	5.27523
1810019J16Rik_mef	4.34543
1810022C23Rik_mef	3.44943
1810030J14Rik_mef	2.71368
1810033B17Rik_mef	4.0327
1810049H19Rik_mef	2.63904
1810065E05Rik_mef	4.18158
1810073H04Rik_mef	4.25765
2010001M09Rik_mef	5.02438
2010002M12Rik_mef	3.18488
2010003H20Rik_mef	2.87596
2010003K11Rik_mef	4.13918
2010004A03Rik_mef	4.52534
2010005H15Rik_mef	3.04224
2010106E10Rik_mef	2.42591
2010107G12Rik_mef	3.80359
2010109I03Rik_mef	4.54147
2010110K16Rik_mef	5.17373
2010110P09Rik_mef	3.348
2200002J24Rik_mef	4.8772
2200002K05Rik_mef	5.36738
2210009G21Rik_mef	5.43442
2210010B09Rik_mef	5.48293
2210010C04Rik_mef	4.85677
2210010C17Rik_mef	5.16511
2210012G02Rik_mef	5.42872
2210020M01Rik_mef	4.65673
2210023G05Rik_mef	3.37866
2210407C18Rik_mef	4.2892
2210408I21Rik_mef	4.73405
2210415F13Rik_mef	3.28168
2210417D09Rik_mef	5.25052
2210418O10Rik_mef	4.94902
2210421G13Rik_mef	5.01082
2300006N05Rik_mef	3.24865
2310002B06Rik_mef	5.74412
2310002B14Rik_mef	4.87543
2310002J15Rik_mef	5.34989
2310002L09Rik_mef	3.80734
2310003F16Rik_mef	4.89939
2310005G13Rik_mef	3.45209
2310005P05Rik_mef	4.08737
2310007A19Rik_mef	3.56967
2310007B03Rik_mef	2.84891
2310010M24Rik_mef	3.09305
2310014L17Rik_mef	4.90029
2310016F22Rik_mef	5.3929
2310028H24Rik_mef	5.03764
2310031A18Rik_mef	4.69205
2310033E01Rik_mef	3.31846
2310034C09Rik_mef	2.39703
2310038E17Rik_mef	2.84341
2310040M23Rik_mef	2.74194
2310042D19Rik_mef	4.49051
2310042E22Rik_mef	4.15153
2310043L02Rik_mef	4.73271
2310045A20Rik_mef	5.04861
2310051M13Rik_mef	3.69772
2310057J16Rik_mef	3.82931
2310057N15Rik_mef	2.80772
2310067E19Rik_mef	5.25753
2310076L09Rik_mef	4.27305
2410004F06Rik_mef	3.65203
2410018L13Rik$2410018L13Rik_mef	5.56028
2410066E13Rik_mef	4.80775
2410116G06Rik_mef	4.29533
2510009E07Rik_mef	6.56789
2510027J23Rik_mef	3.92267
2510048L02Rik_mef	4.33705
2600010E01Rik_mef	6.13526
2600011E07Rik_mef	3.4235
2610008E11Rik_mef	6.58572
2610021K21Rik_mef	3.27569
2610024E20Rik_mef	5.58656
2610028H24Rik_mef	4.83639
2610034M16Rik_mef	3.12903
2610044O15Rik_mef	5.06904
2610109H07Rik_mef	4.52954
2610110G12Rik_mef	5.00571
2610301F02Rik_mef	5.08347
2610305D13Rik_mef	2.87565
2610528J11Rik_mef	3.0488
2810002I04Rik_mef	4.28816
2810006K23Rik_mef	3.30423
2810007J24Rik_mef	2.85268
2810022L02Rik_mef	6.1152
2810030E01Rik_mef	2.65862
2810408A11Rik_mef	4.70358
2810410C14Rik_mef	4.39796
2810426N06Rik_mef	5.02569
2810439F02Rik_mef	5.34616
2810457I06Rik_mef	5.53455
2810487A22Rik_mef	5.07034
2900005J15Rik_mef	4.67243
2900006K08Rik_mef	3.13416
2900009I07Rik_mef	3.5765
2900024O10Rik_mef	5.2699
2900026A02Rik_mef	5.42959
2900046G09Rik_mef	5.00042
2900083I11Rik_mef	4.46133
2900092C05Rik_mef	2.7846
2900093B09Rik_mef	5.36544
3-Mar_mef	3.52402
3-Sep_mef	4.86992
3110002H16Rik_mef	5.17213
3110003A22Rik_mef	5.23768
3110004L20Rik_mef	5.12264
3110007F17Rik_mef	4.57083
3110032G18Rik_mef	4.52738
3110035E14Rik_mef	4.50136
3110049J23Rik_mef	4.32719
3110057O12Rik_mef	4.05575
3110070M22Rik_mef	3.01538
3222401L13Rik_mef	4.62064
3300002I08Rik_mef	5.61915
3322402L07Rik_mef	4.11281
3830403N18Rik_mef	2.46663
3830417A13Rik_mef	4.32644
4-Mar_mef	4.74026
4-Sep_mef	4.98885
4430402I18Rik_mef	3.78118
4432416J03Rik_mef	3.11165
4631426E05Rik_mef	3.86809
4632404H12Rik_mef	4.54557
4632411J06Rik_mef	5.01666
4632417N05Rik_mef	4.51927
4632433K11Rik_mef	3.78482
4732415M23Rik_mef	4.31649
4732429D16Rik_mef	5.03205
4732454E20Rik_mef	3.02022
4732466D17Rik_mef	3.26736
4732473B16Rik_mef	5.43235
4733401H21Rik_mef	3.35231
4832428D23Rik_mef	3.06372
4833401D15Rik_mef	5.49025
4833409A17Rik_mef	5.04715
4833413O15Rik_mef	2.5237
4833422F24Rik_mef	3.58924
4833423E24Rik_mef	4.2137
4833424O15Rik_mef	3.24485
4833427G06Rik_mef	3.8553
4833430A08Rik_mef	3.63272
4833446K15Rik_mef	4.92786
4921501E09Rik_mef	3.45701
4921504E06Rik_mef	3.63878
4921504I05Rik_mef	4.22253
4921506M07Rik_mef	3.90105
4921507P07Rik_mef	3.48038
4921509E07Rik_mef	5.13826
4921510H08Rik_mef	2.40456
4921510J17Rik_mef	3.83324
4921511C04Rik_mef	4.04968
4921511H03Rik_mef	3.91167
4921515J06Rik_mef	5.27906
4921517D21Rik_mef	3.47568
4921517D22Rik_mef	4.4848
4921520G13Rik_mef	3.77613
4921521F21Rik_mef	4.25006
4921521K07Rik_mef	2.93984
4921522P10Rik_mef	2.86393
4921526F01Rik_mef	4.82114
4921530G04Rik_mef	4.33165
4921530L21Rik_mef	3.14509
4921536K21Rik_mef	3.42211
4921537P18Rik_mef	2.91351
4922502D21Rik_mef	2.7212
4922505E12Rik_mef	3.46447
4930402F06Rik_mef	3.11831
4930403C10Rik_mef	3.6558
4930403L05Rik_mef	4.95142
4930404H21Rik_mef	2.73034
4930404N11Rik_mef	5.73793
4930408O21Rik_mef	4.04759
4930412F15Rik_mef	3.79067
4930417G10Rik_mef	3.88217
4930418G15Rik_mef	2.55097
4930424G05Rik_mef	4.85693
4930425N13Rik_mef	3.50826
4930430A15Rik_mef	2.48201
4930432H15Rik_mef	3.15491
4930432K09Rik_mef	5.04138
4930432K21Rik_mef	4.40355
4930434E21Rik_mef	4.2104
4930441O14Rik_mef	3.63585
4930449I24Rik_mef	3.11387
4930451C15Rik_mef	2.78825
4930451I11Rik_mef	5.24712
4930452B06Rik_mef	4.7028
4930473A06Rik_mef	3.06866
4930474N05Rik_mef	3.34536
4930481F22Rik_mef	4.09066
4930483J18Rik_mef	4.68457
4930486G11Rik_mef	5.01696
4930486L24Rik_mef	4.81738
4930500O09Rik_mef	4.62919
4930502E18Rik_mef	3.8035
4930503B20Rik_mef	3.3424
4930504O13Rik_mef	3.67661
4930505A04Rik_mef	2.81559
4930506M07Rik_mef	3.6784
4930507C10Rik_mef	3.29393
4930511H11Rik_mef	5.63298
4930511I11Rik_mef	4.1185
4930511J11Rik_mef	4.79428
4930511M11Rik_mef	4.0554
4930517K23Rik_mef	5.57317
4930519F16Rik_mef	3.62613
4930519G04Rik_mef	2.78095
4930519N13Rik_mef	4.52463
4930519N16Rik_mef	4.20756
4930521A18Rik_mef	2.54998
4930522H14Rik_mef	3.32532
4930523C11Rik_mef	3.58173
4930524B15Rik_mef	3.50234
4930525K10Rik_mef	5.11456
4930526D03Rik_mef	3.08052
4930529M08Rik_mef	4.31146
4930534B04Rik_mef	4.7267
4930538K18Rik_mef	3.34938
4930539E08Rik_mef	5.34492
4930542C12Rik_mef	4.06174
4930542N07Rik_mef	2.36964
4930544G21Rik_mef	3.20842
4930544M13Rik_mef	3.72106
4930546H06Rik_mef	3.76854
4930547C10Rik_mef	2.47199
4930548H24Rik_mef	3.92318
4930549C01Rik_mef	4.61775
4930550C14Rik_mef	2.80992
4930550L24Rik_mef	3.58607
4930555I21Rik_mef	4.0713
4930556L07Rik_mef	5.01825
4930558O21Rik_mef	3.5785
4930563D23Rik_mef	4.26207
4930563P21Rik_mef	2.55376
4930578C19Rik_mef	2.48028
4930578I06Rik_mef	3.28208
4930578N16Rik_mef	3.13042
4930579C15Rik_mef	2.40916
4930579E17Rik_mef	4.21904
4930579J09Rik_mef	5.63238
4930589M24Rik_mef	5.12753
4930591A17Rik_mef	3.99237
4931406B18Rik_mef	4.90053
4931406H21Rik_mef	5.0083
4931407G18Rik_mef	3.75914
4931408A02Rik_mef	5.3503
4931414P19Rik_mef	5.42046
4931417E11Rik_mef	4.42616
4931417G12Rik_mef	3.07044
4931428F04Rik_mef	5.66137
4931428L18Rik_mef	3.9203
4931429I11Rik_mef	2.65238
4931431C16Rik_mef	3.25772
4931432M23Rik_mef	4.44467
4931433A01Rik_mef	3.88592
4931440F15Rik_mef	4.88676
4932409I22Rik_mef	4.36663
4932411G14Rik_mef	4.29999
4932413O14Rik_mef	2.53939
4932414N04Rik_mef	2.56235
4932417H02Rik_mef	4.5551
4932418E24Rik_mef	5.49174
4932425I24Rik_mef	3.37842
4932431H17Rik_mef	2.92747
4932438H23Rik_mef	4.32086
4932701A20Rik_mef	2.86219
4933400E14Rik_mef	3.79381
4933401F05Rik_mef	5.57936
4933402J07Rik_mef	4.67149
4933402N03Rik_mef	4.03018
4933403G14Rik_mef	4.11222
4933403O03Rik_mef	3.16332
4933404M02Rik_mef	2.77166
4933404M19Rik_mef	3.93768
4933405O20Rik_mef	4.12619
4933407H18Rik_mef	5.88606
4933407I18Rik_mef	3.97719
4933409K07Rik_mef	4.46508
4933414I15Rik_mef	3.96665
4933415F23Rik_mef	3.12238
4933417A18Rik_mef	2.81617
4933421I07Rik_mef	4.56534
4933422H20Rik_mef	4.40292
4933425L06Rik_mef	2.66737
4933425O20Rik_mef	3.1721
4933426K21Rik_mef	3.49569
4933427D06Rik_mef	5.21258
4933430I17Rik_mef	2.63346
4933431E20Rik_mef	3.94749
4933433K01Rik_mef	3.87914
4933434I06Rik_mef	4.12679
4933434I20Rik_mef	4.075
4933436I01Rik_mef	2.62956
4933437F05Rik_mef	4.5153
4933437K13Rik_mef	4.78141
4933437N03Rik_mef	3.65836
4933440H19Rik_mef	5.28675
5033411D12Rik_mef	3.00325
5033413D22Rik_mef	4.65666
5330417C22Rik_mef	3.11147
5330421F07Rik_mef	4.936
5330438D12Rik_mef	5.40548
5330439B14Rik_mef	3.20496
5430402E10Rik_mef	2.6377
5430407P10Rik_mef	3.26746
5430416O09Rik_mef	3.27339
5430419D17Rik_mef	4.11566
5430420C16Rik_mef	3.19079
5730410E15Rik_mef	4.47302
5730442P18Rik_mef	3.98536
5730507A09Rik_mef	4.63343
5730507C01Rik_mef	4.92715
5730557B15Rik_mef	3.91897
5730577I03Rik_mef	4.12154
5730596B20Rik_mef	4.68858
5830403L16Rik_mef	3.84681
5830404H04Rik_mef	5.80258
5830405N20Rik_mef	4.21874
5830406J20Rik_mef	3.43657
5830411N06Rik_mef	4.95512
5830418K08Rik_mef	4.39465
5830428H23Rik_mef	4.55536
5830443L24Rik$5830443L24Rik_mef	4.75316
5830443L24Rik_mef	5.03902
5830482F20Rik_mef	4.26503
5930403N24Rik_mef	3.87993
5930422O12Rik_mef	2.8114
6-Sep_mef	5.89576
6030405A18Rik_mef	3.81714
6030419C18Rik_mef	5.42422
6030446N20Rik_mef	5.04269
6030498E09Rik_mef	2.6181
6230409E13Rik_mef	4.39923
6230410P16Rik_mef	5.05127
6330403K07Rik_mef	4.45261
6330407J23Rik_mef	4.36278
6330408A02Rik_mef	4.51756
6330416G13Rik_mef	5.80171
6330416L07Rik$3110048L19Rik_mef	5.78959
6330439K17Rik_mef	3.33694
6330500D04Rik_mef	5.6662
6330503C03Rik_mef	5.32605
6330512M04Rik_mef	5.84482
6330527O06Rik_mef	3.23099
6330534C20Rik_mef	3.3753
6330545A04Rik_mef	4.7806
6332401O19Rik_mef	5.17028
6430502M16Rik_mef	2.65269
6430517E21Rik_mef	3.42597
6430526N21Rik_mef	5.57509
6430531B16Rik_mef	4.70502
6430537H07Rik_mef	3.70069
6430548M08Rik_mef	5.25947
6430550H21Rik_mef	2.78646
6430553K19Rik_mef	2.44397
6430571L13Rik_mef	3.61177
6430573F11Rik_mef	3.24461
6530401C20Rik_mef	4.80882
6530401N04Rik$6530401N04Rik_mef	4.50305
6720456H20Rik_mef	4.48479
6720457D02Rik_mef	4.7019
6820408C15Rik_mef	4.94702
7420416P09Rik_mef	3.30382
7530404M11Rik_mef	4.00537
8030411F24Rik_mef	3.47484
8030451F13Rik_mef	4.10597
8030462N17Rik_mef	4.51689
8030463A06Rik_mef	3.94372
8430415E04Rik_mef	4.83794
9030205A07Rik_mef	3.60606
9030224M15Rik_mef	4.54106
9030425E11Rik_mef	6.51025
9030605E09Rik_mef	2.83931
9030605I04Rik_mef	4.57058
9030619P08Rik_mef	3.66053
9130014G24Rik_mef	2.92942
9130019O22Rik$6430604K15Rik_mef	2.18817
9130019P16Rik_mef	3.50547
9130206N08Rik_mef	3.76669
9130211I03Rik_mef	4.37568
9130221D24Rik_mef	4.96084
9130409I23Rik_mef	2.20329
9230104L09Rik_mef	5.24955
9230105E10Rik_mef	4.89211
9230112E08Rik_mef	3.90066
9330120H11Rik_mef	5.21552
9330128J19Rik_mef	5.06146
9330133O14Rik_mef	5.63028
9330175E14Rik_mef	4.07687
9330180L21Rik_mef	5.59675
9330182L06Rik_mef	2.48998
9430022F06Rik_mef	4.17454
9430028L06Rik_mef	5.4056
9430069J07Rik_mef	4.36245
9430070O13Rik_mef	2.27036
9530002B09Rik_mef	3.50681
9530003J23Rik_mef	3.17855
9530008L14Rik_mef	3.6025
9530056K15Rik_mef	3.25984
9530066K23Rik_mef	4.95629
9530077C05Rik_mef	4.04171
9530096D07Rik_mef	4.18126
9630013D21Rik_mef	2.66128
9630025I21Rik_mef	4.23803
9630030I15Rik_mef	3.72769
9630031F12Rik_mef	3.64532
9630041N07Rik_mef	2.73026
9830102E05Rik_mef	2.287
9830134C10Rik_mef	4.9536
9930021J17Rik_mef	5.80952
9930023K05Rik_mef	4.81416
9930039A11Rik_mef	5.28948
A030001H23Rik_mef	2.55214
A030004J04Rik_mef	4.1921
A030009H04Rik_mef	4.85697
A030010K20Rik_mef	2.69342
A130042E20Rik_mef	4.16746
A130050O07Rik_mef	3.32275
A130090K04Rik_mef	3.22679
A130092J06Rik_mef	3.99438
A230051G13Rik_mef	5.3785
A230067G21Rik_mef	4.72794
A230069A22Rik_mef	3.09719
A230078I05Rik_mef	5.70365
A230097K15Rik_mef	4.98496
A230106N23Rik_mef	3.90679
A230107C01Rik$1700067C01Rik_mef	4.59657
A2bp1_mef	4.32509
A2m_mef	4.4104
A330021E22Rik_mef	4.38292
A330049M08Rik_mef	4.31112
A330102K23Rik_mef	4.42335
A330104H05Rik_mef	2.77838
A430010J10Rik_mef	2.59681
A430107D22Rik_mef	4.09698
A430107O13Rik_mef	5.27977
A430107P09Rik_mef	3.01472
A4gnt_mef	4.63163
A530016L24Rik_mef	4.23769
A530016O06Rik_mef	2.4426
A530023O14Rik_mef	4.15964
A530050D06Rik_mef	4.996
A530057A03Rik_mef	3.70545
A530088H08Rik_mef	3.07992
A530088I07Rik_mef	4.76543
A630005I04Rik_mef	4.85011
A630023P12Rik_mef	3.7528
A630033E08Rik$A630033E08Rik_mef	5.16308
A630055G03Rik_mef	4.72919
A630077B13Rik_mef	3.71314
A630095E13Rik_mef	2.38696
A730011L01Rik_mef	5.25885
A730017C20Rik_mef	3.66999
A730037C10Rik_mef	5.39678
A830006F12Rik_mef	3.0472
A830018L16Rik_mef	3.27486
A830036E02Rik_mef	2.96698
A830039N20Rik_mef	3.42056
A830043J08Rik_mef	2.85423
A830053O21Rik_mef	4.81637
A830059I20Rik_mef	5.38924
A830091I15Rik_mef	4.93224
A930001M12Rik_mef	4.45483
A930001N09Rik_mef	5.52183
A930002I21Rik_mef	3.31579
A930005I04Rik_mef	3.65858
A930006D11Rik_mef	3.97441
A930012O16Rik_mef	3.81178
A930016P21Rik_mef	5.74704
A930017N06Rik_mef	3.95882
A930018P22Rik_mef	3.59414
A930021C24Rik_mef	5.58048
A930034L06Rik_mef	5.01829
AA388235_mef	5.25793
AA407270_mef	4.84387
AA415398_mef	4.14308
AA536749_mef	6.32447
AA986860_mef	2.83114
AB112350_mef	4.58203
AB124611_mef	3.58389
AF067063_mef	3.4401
AF366264_mef	2.87074
AF529169_mef	4.54748
AI317395$2010001E11Rik_mef	2.86006
AI427515_mef	4.5461
AI428936_mef	5.30506
AI451557_mef	3.40806
AI451617$AI451617_mef	3.1225
AI586015_mef	3.10109
AI593442_mef	3.57762
AI646023_mef	4.99942
AI747448$AI747448_mef	2.37068
AI747448_mef	2.27563
AI842396_mef	4.45247
AI851790_mef	4.29148
AI894139_mef	5.21356
AK129341_mef	5.07629
AK162044_mef	3.29067
AK220484_mef	5.04501
AU015228_mef	3.16036
AU017455_mef	4.58475
AU018091_mef	4.38255
AU018829_mef	3.43384
AU021034_mef	4.3854
AU021092_mef	5.09036
AU022751_mef	4.11998
AU042651_mef	3.55144
AV249152_mef	4.80491
AV320801_mef	2.20466
AW049604_mef	5.07707
AW061290_mef	5.74593
AW124722_mef	5.28224
AW125753_mef	4.57164
AW146299_mef	4.17739
AW551984_mef	5.34272
AY026312_mef	3.94111
AY074887_mef	3.34763
AY078069_mef	4.9668
AY702102_mef	2.40153
AY702103_mef	3.84222
Aadac_mef	4.00671
Aadat_mef	5.03205
Aard_mef	4.24241
Aass_mef	4.51578
Aatk_mef	5.37283
Abat_mef	6.23288
Abca13_mef	3.12362
Abca14_mef	2.93273
Abca16_mef	2.58539
Abca4_mef	4.23663
Abca6_mef	3.20823
Abca8a_mef	3.25869
Abca8b_mef	4.34945
Abca9_mef	4.19608
Abcb11_mef	4.53134
Abcb1a_mef	5.2844
Abcc10_mef	4.89836
Abcc12_mef	3.71833
Abcc3_mef	4.74938
Abcc6_mef	3.33594
Abcc8_mef	4.49775
Abcc9_mef	4.41538
Abcd2_mef	3.40057
Abcg3_mef	4.24265
Abcg5_mef	2.91858
Abhd2_mef	5.73244
Abhd3_mef	3.27225
Abhd7_mef	3.41259
Abhd9_mef	4.9082
Abi3bp_mef	5.15566
Ablim1_mef	5.87619
Ablim2_mef	5.52093
Ablim3_mef	2.96398
Abo_mef	2.66633
Abpa_mef	5.66011
Abpb_mef	2.73339
Abpd_mef	2.94518
Abra_mef	2.91319
Abtb2_mef	6.53642
Acacb_mef	4.79648
Acan_mef	6.10716
Accn1_mef	4.43612
Accn3_mef	3.17376
Accn4_mef	4.70294
Accn5_mef	3.15278
Ace2_mef	3.75036
Ache_mef	3.78803
Acot12_mef	4.444
Acot4_mef	3.59072
Acot5_mef	2.91298
Acot6_mef	5.3872
Acox2_mef	4.73126
Acox3_mef	5.43287
Acoxl_mef	4.67133
Acp5_mef	5.4752
Acpl2_mef	6.04615
Acpp_mef	4.24729
Acr_mef	4.90752
Acrbp_mef	5.15167
Acrv1_mef	3.26736
Acsbg2_mef	4.21877
Acsl6_mef	4.21346
Acsm1_mef	3.77454
Acsm2_mef	4.06954
Acsm3_mef	3.85534
Acss1_mef	3.37052
Acta2_mef	6.94944
Actc1_mef	6.25892
Actl6b_mef	3.50506
Actl7a_mef	5.05625
Actn2_mef	4.48181
Actrt1_mef	4.40339
Actrt2_mef	2.90915
Acvr1c_mef	3.86108
Acvrl1_mef	4.13975
Adad1_mef	2.34704
Adam11_mef	5.08253
Adam18_mef	3.56877
Adam1a_mef	4.85128
Adam1b_mef	4.13306
Adam21_mef	5.41955
Adam22_mef	5.21231
Adam24_mef	3.35077
Adam25_mef	2.22748
Adam26a_mef	3.02369
Adam28_mef	3.67808
Adam2_mef	2.95814
Adam32_mef	3.42731
Adam33_mef	5.6267
Adam34_mef	2.63853
Adam3_mef	3.00402
Adam5_mef	2.63896
Adam7_mef	3.98727
Adam8_mef	6.20432
Adamdec1_mef	3.95818
Adamts15_mef	4.3611
Adamts16_mef	6.00275
Adamts18_mef	2.99091
Adamts19_mef	2.83265
Adamts20_mef	3.551
Adamts3_mef	3.18376
Adamts6_mef	5.81319
Adamts8_mef	5.42085
Adamtsl1_mef	6.5594
Adarb2_mef	3.7273
Adat1_mef	4.60687
Adck2_mef	5.43213
Adcy1_mef	4.73706
Adcy4_mef	5.57772
Adcy5$Adcy5_mef	4.01579
Adcy7_mef	6.93496
Adcy8_mef	3.18147
Adcy9_mef	5.2767
Adcyap1_mef	3.57016
Adcyap1r1_mef	5.33405
Add2_mef	4.9554
Adh1_mef	5.13567
Adh4_mef	3.60268
Adh6a_mef	3.7251
Adhfe1_mef	3.98712
Adipoq_mef	2.78386
Admr_mef	3.54952
Adora1_mef	4.62434
Adora3_mef	4.363
Adprhl1_mef	4.98803
Adra1a_mef	3.78307
Adra1b_mef	5.22698
Adra2a$Adra2a_mef	5.54201
Adra2b_mef	4.68545
Adra2c_mef	4.92808
Adrb1_mef	2.80215
Adrb2_mef	4.79035
Adrb3_mef	4.51236
Adrbk2_mef	4.14011
Afap1l1_mef	3.51046
Aff2_mef	4.28008
Afm_mef	5.60911
Afmid_mef	4.63529
Afp_mef	3.6268
Agbl3_mef	3.6039
Ager_mef	4.91923
Agmat_mef	4.98541
Agr2_mef	2.7954
Agr3_mef	2.6192
Agt_mef	5.49469
Agtr1b_mef	3.6347
Agtr2_mef	4.5651
Agtrl1_mef	3.96195
Agxt2_mef	2.74995
Agxt2l1_mef	3.72994
Agxt_mef	5.19616
Ahrr_mef	6.37947
Ahsg_mef	4.62913
Aicda_mef	3.94663
Aifm3_mef	5.31861
Aim2_mef	3.24141
Aipl1_mef	5.06486
Ajap1_mef	3.86272
Akap14_mef	4.14217
Akap3_mef	4.56695
Akap4_mef	4.53289
Akap6_mef	5.13231
Akna_mef	5.73504
Akp3_mef	4.51391
Akp5_mef	5.62948
Akr1b7_mef	3.96485
Akr1c12$Akr1c12_mef	4.04647
Akr1c13$Akr1c12_mef	4.03135
Akr1c14_mef	5.10493
Akr1c18_mef	4.99606
Akr1c19_mef	3.59842
Akr1c20_mef	3.01588
Akr1c21_mef	4.532
Akr1c6_mef	3.91175
Akr1d1_mef	3.4022
Alas2_mef	3.8712
Alb_mef	3.84924
Aldh1a1_mef	3.25044
Aldh1a2_mef	5.67236
Aldh1a3_mef	5.81748
Aldh1a7_mef	3.95523
Aldh1b1_mef	4.22197
Aldh1l1_mef	5.08589
